Hora (UTC-04:00),Clics,Impresiones,CTR,Posición
2026-04-26T11:00:00,0,20,0%,4
2026-04-26T12:00:00,1,21,4.76%,5.3
2026-04-26T13:00:00,0,14,0%,5.6
2026-04-26T14:00:00,0,6,0%,8
2026-04-26T15:00:00,0,13,0%,5
2026-04-26T16:00:00,0,35,0%,4.1
2026-04-26T17:00:00,0,7,0%,4.9
2026-04-26T18:00:00,1,9,11.11%,5.4
2026-04-26T19:00:00,0,16,0%,5.2
2026-04-26T20:00:00,1,20,5%,2.2
2026-04-26T21:00:00,0,6,0%,5.5
2026-04-26T22:00:00,0,4,0%,7.5
2026-04-26T23:00:00,1,4,25%,5
2026-04-27T00:00:00,0,3,0%,7
2026-04-27T01:00:00,0,9,0%,4
2026-04-27T02:00:00,0,2,0%,5.5
2026-04-27T03:00:00,0,4,0%,7.2
2026-04-27T04:00:00,0,3,0%,9.3
2026-04-27T05:00:00,0,8,0%,5.6
2026-04-27T06:00:00,0,2,0%,4
2026-04-27T07:00:00,0,2,0%,22.5
2026-04-27T08:00:00,0,0,0%,0
2026-04-27T09:00:00,0,2,0%,3
2026-04-27T10:00:00,0,0,0%,0